date,n_picks,n_filled,codes,names,labels,n_wins,n_losses,n_not_filled,portfolio_ret_pct,portfolio_net_pct
20260227,3,3,"309710,064400,322310","아이티켐,LG씨엔에스,오로스테크놀로지","🏆 최강,🏆 최강,🏆 최강",0,3,0,-4.74,-4.96
20260302,3,3,"309710,064400,322310","아이티켐,LG씨엔에스,오로스테크놀로지","🏆 최강,🏆 최강,🏆 최강",0,3,0,-4.74,-4.96
20260313,1,1,003310,대주산업,🏆 최강,0,1,0,-15.1,-15.32
20260317,2,2,"327260,380540","RF머트리얼즈,옵티코어","🏆 최강,🏆 최강",1,0,0,11.06,10.84
20260318,3,3,"327260,295310,900290","RF머트리얼즈,에이치브이엠,GRT","🏆 최강,🏆 최강,🏆 최강",1,2,0,0.74,0.52
20260319,2,2,"448900,298040","한국피아이엠,효성중공업","🏆 최강,🏆 최강",1,1,0,-2.9,-3.12
20260320,2,2,"226950,448900","올릭스,한국피아이엠","🏆 최강,🏆 최강",0,2,0,-12.2,-12.41
20260323,3,1,"278470,298020,174900","에이피알,효성티앤씨,앱클론","🏆 최강,🏆 최강,🏆 최강",0,1,2,-5.04,-5.12
20260324,1,1,298020,효성티앤씨,🏆 최강,0,0,0,4.34,4.12
20260326,3,3,"098070,079550,218410","한텍,LIG넥스원,RFHIC","🏆 최강,🏆 최강,🏆 최강",1,1,0,-0.2,-0.42
20260327,1,1,356860,티엘비,🏆 최강,0,1,0,-15.05,-15.27
20260330,3,2,"078350,010060,424870","한양디지텍,OCI홀딩스,이뮨온시아","🏆 최강,🏆 최강,🏆 최강",0,1,1,-6.37,-6.52
20260331,3,2,"078350,131030,424870","한양디지텍,옵투스제약,이뮨온시아","🏆 최강,🏆 최강,🏆 최강",0,2,1,-8.09,-8.24
20260401,3,1,"001780,010060,389260","알루코,OCI홀딩스,대명에너지","🏆 최강,🏆 최강,🏆 최강",1,0,2,6.57,6.5
20260402,3,2,"001780,054920,353200","알루코,한컴위드,대덕전자","🏆 최강,🏆 최강,🏆 최강",2,0,1,12.54,12.39
20260403,3,2,"054920,012630,001780","한컴위드,HDC,알루코","🏆 최강,🏆 최강,🏆 최강",1,0,1,8.54,8.39
20260406,1,1,289930,웨이비스,🏆 최강,0,0,0,-2.96,-3.18
20260408,2,1,"054920,010060","한컴위드,OCI홀딩스","🏆 최강,🏆 최강",1,0,1,11.96,11.85
20260409,1,1,373220,LG에너지솔루션,🏆 최강,1,0,0,18.58,18.36
20260410,3,3,"175330,282330,356860","JB금융지주,BGF리테일,티엘비","🏆 최강,🏆 최강,🏆 최강",1,0,0,2.69,2.47
20260413,3,2,"175330,009410,356860","JB금융지주,태영건설,티엘비","🏆 최강,🏆 최강,🏆 최강",1,1,1,1.08,0.94
20260414,3,2,"139130,025820,001120","iM금융지주,이구산업,LX인터내셔널","🏆 최강,🏆 최강,🏆 최강",1,0,1,5.58,5.44
20260415,3,3,"252990,011280,036200","샘씨엔에스,태림포장,유니셈","🏆 최강,🏆 최강,🏆 최강",1,0,0,8.65,8.43
20260416,3,2,"017800,368770,012330","현대엘리베이터,파이버프로,현대모비스","🏆 최강,🏆 최강,🏆 최강",0,0,1,-0.42,-0.57
20260417,3,3,"096770,129920,012450","SK이노베이션,대성하이텍,한화에어로스페이스","🏆 최강,🏆 최강,🏆 최강",1,1,0,1.02,0.8
20260420,3,2,"017800,451760,307180","현대엘리베이터,컨텍,아이엘","🏆 최강,🏆 최강,🏆 최강",1,1,1,3.32,3.17
20260421,2,2,"310210,096770","보로노이,SK이노베이션","🏆 최강,🏆 최강",1,0,0,5.15,4.93
20260422,1,1,310210,보로노이,🏆 최강,0,0,0,-1.01,-1.23
20260423,3,2,"307180,011930,310210","아이엘,신성이엔지,보로노이","🏆 최강,🏆 최강,🏆 최강",1,0,1,4.29,4.14
20260424,3,2,"044490,322310,327260","태웅,오로스테크놀로지,RF머트리얼즈","🏆 최강,🏆 최강,🏆 최강",1,0,1,9.85,9.7
20260427,3,3,"044490,294870,322310","태웅,IPARK현대산업개발,오로스테크놀로지","🏆 최강,🏆 최강,🏆 최강",1,0,0,3.96,3.74
20260428,1,1,327260,RF머트리얼즈,🏆 최강,1,0,0,31.2,30.98
20260429,2,2,"078930,017960","GS,한국카본","🏆 최강,🏆 최강",0,1,0,-4.25,-4.46
20260430,3,3,"078930,001780,061970","GS,알루코,LB세미콘","🏆 최강,🏆 최강,🏆 최강",0,1,0,-4.39,-4.61
20260501,3,3,"078930,001780,061970","GS,알루코,LB세미콘","🏆 최강,🏆 최강,🏆 최강",0,1,0,-4.39,-4.61
20260504,3,3,"011170,419530,052710","롯데케미칼,SAMG엔터,아모텍","🏆 최강,🏆 최강,🏆 최강",0,0,0,-7.04,-7.26
20260505,3,3,"011170,419530,052710","롯데케미칼,SAMG엔터,아모텍","🏆 최강,🏆 최강,🏆 최강",0,0,0,-7.04,-7.26
20260506,3,2,"042510,011170,078930","라온시큐어,롯데케미칼,GS","🏆 최강,🏆 최강,🏆 최강",0,0,1,0.6,0.46
