종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005935,삼성전자우
402340,SK스퀘어
009150,삼성전기
373220,LG에너지솔루션
005380,현대차
207940,삼성바이오로직스
105560,KB금융
032830,삼성생명
028260,삼성물산
012450,한화에어로스페이스
034020,두산에너빌리티
000270,기아
055550,신한지주
329180,HD현대중공업
006400,삼성SDI
068270,셀트리온
012330,현대모비스
034730,SK
086790,하나금융지주
066570,LG전자
035420,NAVER
010120,LS ELECTRIC
000810,삼성화재
267260,HD현대일렉트릭
298040,효성중공업
042660,한화오션
005490,POSCO홀딩스
010130,고려아연
316140,우리금융지주
009540,HD한국조선해양
196170,알테오젠
096770,SK이노베이션
042700,한미반도체
015760,한국전력
000150,두산
138040,메리츠금융지주
017670,SK텔레콤
011200,HMM
051910,LG화학
006800,미래에셋증권
018260,삼성에스디에스
033780,KT&G
010140,삼성중공업
003550,LG
003670,포스코퓨처엠
278470,에이피알
267250,HD현대
010950,S-Oil
024110,기업은행
035720,카카오
086280,현대글로비스
079550,LIG디펜스앤에어로스페이스
011070,LG이노텍
064350,현대로템
272210,한화시스템
000720,현대건설
030200,KT
047810,한국항공우주
086520,에코프로
005830,DB손해보험
247540,에코프로비엠
078930,GS
307950,현대오토에버
003230,삼양식품
071050,한국금융지주
323410,카카오뱅크
259960,크래프톤
003490,대한항공
005940,NH투자증권
006260,LS
0126Z0,삼성에피스홀딩스
047050,포스코인터내셔널
443060,HD현대마린솔루션
028050,삼성E&A
277810,레인보우로보틱스
180640,한진칼
090430,아모레퍼시픽
007660,이수페타시스
161390,한국타이어앤테크놀로지
036930,주성엔지니어링
016360,삼성증권
352820,하이브
009830,한화솔루션
064400,LG씨엔에스
047040,대우건설
039490,키움증권
000880,한화
021240,코웨이
326030,SK바이오팜
005387,현대차2우B
267270,HD건설기계
032640,LG유플러스
128940,한미약품
377300,카카오페이
000500,가온전선
000100,유한양행
062040,산일전기
241560,두산밥캣
066970,엘앤에프
001440,대한전선
353200,대덕전자
240810,원익IPS
029780,삼성카드
175330,JB금융지주
010060,OCI홀딩스
271560,오리온
058470,리노공업
088350,한화생명
039030,이오테크닉스
222800,심텍
036570,NC
088980,맥쿼리인프라
028300,HLB
034220,LG디스플레이
051900,LG생활건강
138930,BNK금융지주
454910,두산로보틱스
011790,SKC
052690,한전기술
005385,현대차우
214450,파마리서치
001450,현대해상
087010,펩트론
000990,DB하이텍
403870,HPSP
002380,KCC
298380,에이비엘바이오
004020,현대제철
082740,한화엔진
000250,삼천당제약
004170,신세계
001040,CJ
161890,한국콜마
108490,로보티즈
319660,피에스케이
018880,한온시스템
095340,ISC
141080,리가켐바이오
257720,실리콘투
036460,한국가스공사
192820,코스맥스
103590,일진전기
440110,파두
022100,포스코DX
011780,금호석유화학
111770,영원무역
145020,휴젤
251270,넷마블
035250,강원랜드
009420,한올바이오파마
006360,GS건설
012750,에스원
008930,한미사이언스
310210,보로노이
084370,유진테크
031210,서울보증보험
028670,팬오션
302440,SK바이오사이언스
023530,롯데쇼핑
336260,두산퓨얼셀
139130,iM금융지주
085620,미래에셋생명
017800,현대엘리베이터
097950,CJ제일제당
004800,효성
375500,DL이앤씨
064760,티씨케이
214370,케어젠
007340,DN오토모티브
095610,테스
483650,달바글로벌
450080,에코프로머티
004370,농심
080220,제주반도체
031980,피에스케이홀딩스
357780,솔브레인
131290,티에스이
319400,현대무벡스
026960,동서
001720,신영증권
383220,F&F
282330,BGF리테일
489790,한화비전
011170,롯데케미칼
003690,코리안리
178320,서진시스템
005850,에스엘
347850,디앤디파마텍
181710,NHN
204320,HL만도
004990,롯데지주
067310,하나마이크론
000240,한국앤컴퍼니
279570,케이뱅크
103140,풍산
014680,한솔케미칼
081660,미스토홀딩스
214150,클래시스
030000,제일기획
007070,GS리테일
005440,현대지에프홀딩스
237690,에스티팜
009970,영원무역홀딩스
140410,메지온
226950,올릭스
005290,동진쎄미켐
010170,대한광통신
457190,이수스페셜티케미컬
073240,금호타이어
018670,SK가스
002790,아모레퍼시픽홀딩스
058610,에스피지
112610,씨에스윈드
051600,한전KPS
069960,현대백화점
139480,이마트
032820,우리기술
263750,펄어비스
020150,롯데에너지머티리얼즈
083650,비에이치아이
098460,고영
462870,시프트업
475150,SK이터닉스
068760,셀트리온제약
140860,파크시스템스
089030,테크윙
439260,대한조선
120110,코오롱인더
071970,HD현대마린엔진
000155,두산우
096530,씨젠
008770,호텔신라
060370,LS마린솔루션
089860,롯데렌탈
041510,에스엠
006040,동원산업
023590,다우기술
000120,CJ대한통운
007390,네이처셀
395400,SK리츠
011210,현대위아
241710,코스메카코리아
322000,HD현대에너지솔루션
0009K0,에임드바이오
020560,아시아나항공
001800,오리온홀딩스
131970,두산테스나
294870,IPARK현대산업개발
298020,효성티앤씨
097230,HJ중공업
009155,삼성전기우
001120,LX인터내셔널
006280,녹십자
950160,코오롱티슈진
323280,태성
089970,브이엠
069620,대웅제약
001430,세아베스틸지주
007810,코리아써키트
030530,원익홀딩스
078600,대주전자재료
00680K,미래에셋증권2우B
290650,엘앤씨바이오
420770,기가비스
035900,JYP Ent.
229640,LS에코에너지
475830,오름테라퓨틱
093370,후성
005070,코스모신소재
183300,코미코
281820,케이씨텍
012630,HDC
007310,오뚜기
280360,롯데웰푸드
039200,오스코텍
361610,SK아이이테크놀로지
001740,SK네트웍스
415640,KB발해인프라
066575,LG전자우
003540,대신증권
000815,삼성화재우
300720,한일시멘트
017960,한국카본
043260,성호전자
218410,RFHIC
192080,더블유게임즈
004000,롯데정밀화학
195940,HK이노엔
003380,하림지주
127120,제이에스링크
001820,삼화콘덴서
082920,비츠로셀
030610,교보증권
204270,제이앤티씨
330590,롯데리츠
000080,하이트진로
347700,스피어
006110,삼아알미늄
006340,대원전선
032350,롯데관광개발
003530,한화투자증권
000210,DL
003090,대웅
496320,본시스템즈
003240,태광산업
166090,하나머티리얼즈
437730,삼현
086450,동국제약
077970,STX엔진
