종목코드,종목명
005930,삼성전자
000660,SK하이닉스
402340,SK스퀘어
005935,삼성전자우
009150,삼성전기
005380,현대차
373220,LG에너지솔루션
032830,삼성생명
028260,삼성물산
329180,HD현대중공업
000270,기아
034020,두산에너빌리티
207940,삼성바이오로직스
105560,KB금융
012450,한화에어로스페이스
012330,현대모비스
055550,신한지주
034730,SK
006400,삼성SDI
267260,HD현대일렉트릭
042660,한화오션
068270,셀트리온
010120,LS ELECTRIC
066570,LG전자
035420,NAVER
298040,효성중공업
086790,하나금융지주
042700,한미반도체
009540,HD한국조선해양
005490,POSCO홀딩스
000810,삼성화재
011070,LG이노텍
006800,미래에셋증권
000150,두산
010130,고려아연
051910,LG화학
015760,한국전력
010140,삼성중공업
064350,현대로템
316140,우리금융지주
079550,LIG디펜스앤에어로스페이스
017670,SK텔레콤
267250,HD현대
011200,HMM
272210,한화시스템
307950,현대오토에버
033780,KT&G
138040,메리츠금융지주
096770,SK이노베이션
196170,알테오젠
003670,포스코퓨처엠
024110,기업은행
018260,삼성에스디에스
035720,카카오
247540,에코프로비엠
003550,LG
086280,현대글로비스
086520,에코프로
000720,현대건설
047810,한국항공우주
278470,에이피알
030200,KT
071050,한국금융지주
006260,LS
010950,S-Oil
277810,레인보우로보틱스
005940,NH투자증권
323410,카카오뱅크
047050,포스코인터내셔널
443060,HD현대마린솔루션
0126Z0,삼성에피스홀딩스
047040,대우건설
016360,삼성증권
028050,삼성E&A
259960,크래프톤
003490,대한항공
036930,주성엔지니어링
039490,키움증권
005830,DB손해보험
352820,하이브
007660,이수페타시스
064400,LG씨엔에스
950160,코오롱티슈진
005387,현대차2우B
000880,한화
161390,한국타이어앤테크놀로지
003230,삼양식품
180640,한진칼
353200,대덕전자
001440,대한전선
062040,산일전기
240810,원익IPS
267270,HD건설기계
078930,GS
009830,한화솔루션
004170,신세계
058470,리노공업
011790,SKC
454910,두산로보틱스
034220,LG디스플레이
326030,SK바이오팜
032640,LG유플러스
000990,DB하이텍
241560,두산밥캣
090430,아모레퍼시픽
021240,코웨이
028300,HLB
377300,카카오페이
000100,유한양행
000250,삼천당제약
029780,삼성카드
039030,이오테크닉스
010060,OCI홀딩스
005385,현대차우
066970,엘앤에프
138930,BNK금융지주
036570,NC
023530,롯데쇼핑
298380,에이비엘바이오
403870,HPSP
128940,한미약품
001040,CJ
087010,펩트론
018880,한온시스템
175330,JB금융지주
271560,오리온
088980,맥쿼리인프라
141080,리가켐바이오
052690,한전기술
336260,두산퓨얼셀
440110,파두
082740,한화엔진
088350,한화생명
002380,KCC
004020,현대제철
222800,심텍
178320,서진시스템
319660,피에스케이
108490,로보티즈
085620,미래에셋생명
000500,가온전선
069960,현대백화점
022100,포스코DX
095340,ISC
103590,일진전기
450080,에코프로머티
084370,유진테크
214370,케어젠
319400,현대무벡스
347850,디앤디파마텍
051900,LG생활건강
310210,보로노이
204320,HL만도
489790,한화비전
111770,영원무역
005850,에스엘
001450,현대해상
012510,더존비즈온
080220,제주반도체
035250,강원랜드
375500,DL이앤씨
011170,롯데케미칼
251270,넷마블
014680,한솔케미칼
036460,한국가스공사
067310,하나마이크론
011780,금호석유화학
004800,효성
095610,테스
017800,현대엘리베이터
001720,신영증권
007810,코리아써키트
031210,서울보증보험
302440,SK바이오사이언스
012750,에스원
005290,동진쎄미켐
064760,티씨케이
383220,F&F
214450,파마리서치
020150,롯데에너지머티리얼즈
097950,CJ제일제당
010170,대한광통신
145020,휴젤
357780,솔브레인
214150,클래시스
139130,iM금융지주
131970,두산테스나
043260,성호전자
028670,팬오션
279570,케이뱅크
131290,티에스이
006360,GS건설
009420,한올바이오파마
004990,롯데지주
032820,우리기술
000240,한국앤컴퍼니
031980,피에스케이홀딩스
457190,이수스페셜티케미컬
226950,올릭스
007340,DN오토모티브
237690,에스티팜
263750,펄어비스
026960,동서
139480,이마트
003690,코리안리
439260,대한조선
098460,고영
071970,HD현대마린엔진
009970,영원무역홀딩스
030000,제일기획
483650,달바글로벌
001740,SK네트웍스
112610,씨에스윈드
051600,한전KPS
008770,호텔신라
011210,현대위아
000155,두산우
257720,실리콘투
089970,브이엠
004370,농심
081660,미스토홀딩스
005440,현대지에프홀딩스
183300,코미코
089030,테크윙
282330,BGF리테일
218410,RFHIC
082920,비츠로셀
103140,풍산
120110,코오롱인더
058610,에스피지
007070,GS리테일
018670,SK가스
008930,한미사이언스
290650,엘앤씨바이오
083650,비에이치아이
030530,원익홀딩스
097230,HJ중공업
093370,후성
229640,LS에코에너지
078600,대주전자재료
161890,한국콜마
000120,CJ대한통운
035900,JYP Ent.
007390,네이처셀
068760,셀트리온제약
140410,메지온
00680K,미래에셋증권2우B
475150,SK이터닉스
041510,에스엠
192820,코스맥스
462870,시프트업
002790,아모레퍼시픽홀딩스
322000,HD현대에너지솔루션
0009K0,에임드바이오
017960,한국카본
009155,삼성전기우
420770,기가비스
281820,케이씨텍
001430,세아베스틸지주
023590,다우기술
395400,SK리츠
140860,파크시스템스
001800,오리온홀딩스
347700,스피어
060370,LS마린솔루션
437730,삼현
001120,LX인터내셔널
361610,SK아이이테크놀로지
020560,아시아나항공
100790,미래에셋벤처투자
323280,태성
003570,SNT다이내믹스
005070,코스모신소재
003540,대신증권
001820,삼화콘덴서
298020,효성티앤씨
006280,녹십자
006040,동원산업
031330,에스에이엠티
096530,씨젠
039200,오스코텍
073240,금호타이어
192080,더블유게임즈
032350,롯데관광개발
034230,파라다이스
077970,STX엔진
069620,대웅제약
476830,알지노믹스
066575,LG전자우
195870,해성디에스
166090,하나머티리얼즈
475830,오름테라퓨틱
294870,IPARK현대산업개발
101490,에스앤에스텍
012630,HDC
100090,SK오션플랜트
007310,오뚜기
090710,휴림로봇
030610,교보증권
004000,롯데정밀화학
000815,삼성화재우
003530,한화투자증권
082640,동양생명
181710,NHN
051915,LG화학우
232140,와이씨
127120,제이에스링크
038500,삼표시멘트
003380,하림지주
415640,KB발해인프라
