종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005935,삼성전자우
402340,SK스퀘어
373220,LG에너지솔루션
005380,현대차
034020,두산에너빌리티
012450,한화에어로스페이스
329180,HD현대중공업
207940,삼성바이오로직스
009150,삼성전기
000270,기아
105560,KB금융
006400,삼성SDI
032830,삼성생명
028260,삼성물산
267260,HD현대일렉트릭
055550,신한지주
010120,LS ELECTRIC
068270,셀트리온
042660,한화오션
005490,POSCO홀딩스
298040,효성중공업
006800,미래에셋증권
012330,현대모비스
042700,한미반도체
086790,하나금융지주
034730,SK
010130,고려아연
009540,HD한국조선해양
035420,NAVER
051910,LG화학
064350,현대로템
015760,한국전력
010140,삼성중공업
000150,두산
096770,SK이노베이션
316140,우리금융지주
267250,HD현대
003670,포스코퓨처엠
066570,LG전자
272210,한화시스템
079550,LIG디펜스앤에어로스페이스
086520,에코프로
000810,삼성화재
247540,에코프로비엠
017670,SK텔레콤
035720,카카오
033780,KT&G
196170,알테오젠
011200,HMM
138040,메리츠금융지주
000720,현대건설
024110,기업은행
047810,한국항공우주
086280,현대글로비스
278470,에이피알
006260,LS
003550,LG
047050,포스코인터내셔널
030200,KT
071050,한국금융지주
010950,S-Oil
011070,LG이노텍
259960,크래프톤
277810,레인보우로보틱스
047040,대우건설
0126Z0,삼성에피스홀딩스
005940,NH투자증권
018260,삼성에스디에스
016360,삼성증권
307950,현대오토에버
443060,HD현대마린솔루션
323410,카카오뱅크
001440,대한전선
352820,하이브
039490,키움증권
007660,이수페타시스
005830,DB손해보험
028050,삼성E&A
062040,산일전기
003230,삼양식품
000880,한화
000250,삼천당제약
058470,리노공업
267270,HD건설기계
003490,대한항공
950160,코오롱티슈진
005387,현대차2우B
066970,엘앤에프
009830,한화솔루션
028300,HLB
090430,아모레퍼시픽
326030,SK바이오팜
161390,한국타이어앤테크놀로지
377300,카카오페이
078930,GS
180640,한진칼
082740,한화엔진
298380,에이비엘바이오
000100,유한양행
052690,한전기술
241560,두산밥캣
000990,DB하이텍
454910,두산로보틱스
032640,LG유플러스
103590,일진전기
141080,리가켐바이오
010060,OCI홀딩스
001040,CJ
064400,LG씨엔에스
087010,펩트론
034220,LG디스플레이
021240,코웨이
029780,삼성카드
240810,원익IPS
450080,에코프로머티
036930,주성엔지니어링
039030,이오테크닉스
005385,현대차우
036570,NC
004020,현대제철
128940,한미약품
214370,케어젠
353200,대덕전자
138930,BNK금융지주
271560,오리온
088980,맥쿼리인프라
022100,포스코DX
310210,보로노이
095340,ISC
175330,JB금융지주
002380,KCC
018880,한온시스템
000500,가온전선
011790,SKC
108490,로보티즈
011170,롯데케미칼
489790,한화비전
403870,HPSP
088350,한화생명
051900,LG생활건강
020150,롯데에너지머티리얼즈
440110,파두
251270,넷마블
336260,두산퓨얼셀
023530,롯데쇼핑
017800,현대엘리베이터
004170,신세계
111770,영원무역
263750,펄어비스
457190,이수스페셜티케미컬
004800,효성
032820,우리기술
214150,클래시스
178320,서진시스템
012510,더존비즈온
071970,HD현대마린엔진
011780,금호석유화학
097950,CJ제일제당
035250,강원랜드
319400,현대무벡스
357780,솔브레인
036460,한국가스공사
226950,올릭스
375500,DL이앤씨
214450,파마리서치
439260,대한조선
302440,SK바이오사이언스
001720,신영증권
064760,티씨케이
222800,심텍
031210,서울보증보험
347850,디앤디파마텍
014680,한솔케미칼
145020,휴젤
237690,에스티팜
139130,iM금융지주
043260,성호전자
006360,GS건설
083650,비에이치아이
005290,동진쎄미켐
084370,유진테크
0009K0,에임드바이오
028670,팬오션
004990,롯데지주
007340,DN오토모티브
012750,에스원
005850,에스엘
112610,씨에스윈드
383220,F&F
139480,이마트
319660,피에스케이
058610,에스피지
009970,영원무역홀딩스
031980,피에스케이홀딩스
103140,풍산
120110,코오롱인더
00680K,미래에셋증권2우B
067310,하나마이크론
100790,미래에셋벤처투자
483650,달바글로벌
140410,메지온
229640,LS에코에너지
051600,한전KPS
010170,대한광통신
000155,두산우
204320,HL만도
098460,고영
030530,원익홀딩스
001450,현대해상
257720,실리콘투
026960,동서
082920,비츠로셀
008930,한미사이언스
218410,RFHIC
097230,HJ중공업
060370,LS마린솔루션
001430,세아베스틸지주
131970,두산테스나
279570,케이뱅크
017960,한국카본
008770,호텔신라
069960,현대백화점
322000,HD현대에너지솔루션
068760,셀트리온제약
018670,SK가스
078600,대주전자재료
476830,알지노믹스
009420,한올바이오파마
077970,STX엔진
000240,한국앤컴퍼니
192820,코스맥스
004370,농심
000120,CJ대한통운
323280,태성
005440,현대지에프홀딩스
282330,BGF리테일
030000,제일기획
089030,테크윙
011210,현대위아
085620,미래에셋생명
035900,JYP Ent.
041510,에스엠
298020,효성티앤씨
007810,코리아써키트
361610,SK아이이테크놀로지
140860,파크시스템스
002790,아모레퍼시픽홀딩스
003690,코리안리
081660,미스토홀딩스
101490,에스앤에스텍
161890,한국콜마
005070,코스모신소재
347700,스피어
023590,다우기술
417200,LS머트리얼즈
001120,LX인터내셔널
475830,오름테라퓨틱
003570,SNT다이내믹스
039200,오스코텍
003540,대신증권
462870,시프트업
395400,SK리츠
080220,제주반도체
007070,GS리테일
475150,SK이터닉스
027360,아주IB투자
458870,씨어스
131290,티에스이
099320,쎄트렉아이
232140,와이씨
038500,삼표시멘트
003530,한화투자증권
491000,리브스메드
445680,큐리옥스바이오시스템즈
004000,롯데정밀화학
069620,대웅제약
006040,동원산업
437730,삼현
012630,HDC
095610,테스
030610,교보증권
032350,롯데관광개발
490470,세미파이브
073240,금호타이어
006280,녹십자
065350,신성델타테크
085660,차바이오텍
166090,하나머티리얼즈
290650,엘앤씨바이오
001800,오리온홀딩스
189300,인텔리안테크
127120,제이에스링크
093370,후성
003380,하림지주
183300,코미코
051915,LG화학우
281740,레이크머티리얼즈
090710,휴림로봇
294870,IPARK현대산업개발
036830,솔브레인홀딩스
195940,HK이노엔
033100,제룡전기
100090,SK오션플랜트
034230,파라다이스
007310,오뚜기
