종목코드,종목명
005930,삼성전자
000660,SK하이닉스
005935,삼성전자우
402340,SK스퀘어
009150,삼성전기
373220,LG에너지솔루션
005380,현대차
207940,삼성바이오로직스
105560,KB금융
028260,삼성물산
032830,삼성생명
012450,한화에어로스페이스
034020,두산에너빌리티
055550,신한지주
329180,HD현대중공업
000270,기아
034730,SK
006400,삼성SDI
068270,셀트리온
086790,하나금융지주
066570,LG전자
012330,현대모비스
010120,LS ELECTRIC
035420,NAVER
000810,삼성화재
298040,효성중공업
316140,우리금융지주
267260,HD현대일렉트릭
096770,SK이노베이션
005490,POSCO홀딩스
000150,두산
042660,한화오션
009540,HD한국조선해양
010130,고려아연
042700,한미반도체
138040,메리츠금융지주
011200,HMM
015760,한국전력
017670,SK텔레콤
033780,KT&G
051910,LG화학
010140,삼성중공업
010950,S-Oil
006800,미래에셋증권
196170,알테오젠
018260,삼성에스디에스
003550,LG
024110,기업은행
267250,HD현대
003670,포스코퓨처엠
079550,LIG디펜스앤에어로스페이스
035720,카카오
086280,현대글로비스
272210,한화시스템
278470,에이피알
000720,현대건설
030200,KT
011070,LG이노텍
064350,현대로템
047810,한국항공우주
005830,DB손해보험
003490,대한항공
086520,에코프로
443060,HD현대마린솔루션
071050,한국금융지주
307950,현대오토에버
078930,GS
247540,에코프로비엠
006260,LS
036930,주성엔지니어링
047050,포스코인터내셔널
028050,삼성E&A
005940,NH투자증권
323410,카카오뱅크
000500,가온전선
180640,한진칼
003230,삼양식품
259960,크래프톤
007660,이수페타시스
277810,레인보우로보틱스
090430,아모레퍼시픽
0126Z0,삼성에피스홀딩스
016360,삼성증권
047040,대우건설
161390,한국타이어앤테크놀로지
021240,코웨이
039490,키움증권
000880,한화
352820,하이브
064400,LG씨엔에스
128940,한미약품
009830,한화솔루션
240810,원익IPS
062040,산일전기
032640,LG유플러스
267270,HD건설기계
005387,현대차2우B
001440,대한전선
326030,SK바이오팜
039030,이오테크닉스
353200,대덕전자
222800,심텍
000990,DB하이텍
058470,리노공업
175330,JB금융지주
241560,두산밥캣
377300,카카오페이
000100,유한양행
052690,한전기술
029780,삼성카드
138930,BNK금융지주
088350,한화생명
088980,맥쿼리인프라
454910,두산로보틱스
403870,HPSP
036570,NC
095340,ISC
066970,엘앤에프
011790,SKC
108490,로보티즈
051900,LG생활건강
271560,오리온
004020,현대제철
034220,LG디스플레이
319660,피에스케이
002380,KCC
440110,파두
028300,HLB
001450,현대해상
005385,현대차우
082740,한화엔진
103590,일진전기
000250,삼천당제약
010060,OCI홀딩스
001040,CJ
084370,유진테크
008930,한미사이언스
031980,피에스케이홀딩스
161890,한국콜마
087010,펩트론
214450,파마리서치
018880,한온시스템
036460,한국가스공사
004170,신세계
064760,티씨케이
131290,티에스이
012750,에스원
095610,테스
375500,DL이앤씨
336260,두산퓨얼셀
192820,코스맥스
067310,하나마이크론
111770,영원무역
035250,강원랜드
022100,포스코DX
028670,팬오션
141080,리가켐바이오
006360,GS건설
011780,금호석유화학
023530,롯데쇼핑
031210,서울보증보험
017800,현대엘리베이터
357780,솔브레인
251270,넷마블
298380,에이비엘바이오
139130,iM금융지주
302440,SK바이오사이언스
007340,DN오토모티브
010170,대한광통신
004800,효성
310210,보로노이
080220,제주반도체
097950,CJ제일제당
085620,미래에셋생명
383220,F&F
003690,코리안리
011170,롯데케미칼
014680,한솔케미칼
257720,실리콘투
026960,동서
140410,메지온
450080,에코프로머티
009420,한올바이오파마
004990,롯데지주
489790,한화비전
005440,현대지에프홀딩스
005290,동진쎄미켐
004370,농심
145020,휴젤
000240,한국앤컴퍼니
226950,올릭스
319400,현대무벡스
282330,BGF리테일
483650,달바글로벌
001720,신영증권
005850,에스엘
032820,우리기술
058610,에스피지
018670,SK가스
030530,원익홀딩스
279570,케이뱅크
214370,케어젠
103140,풍산
204320,HL만도
263750,펄어비스
009970,영원무역홀딩스
112610,씨에스윈드
020150,롯데에너지머티리얼즈
069960,현대백화점
051600,한전KPS
178320,서진시스템
347850,디앤디파마텍
030000,제일기획
002790,아모레퍼시픽홀딩스
081660,미스토홀딩스
214150,클래시스
098460,고영
043260,성호전자
139480,이마트
000155,두산우
229640,LS에코에너지
457190,이수스페셜티케미컬
007070,GS리테일
237690,에스티팜
041510,에스엠
073240,금호타이어
083650,비에이치아이
462870,시프트업
140860,파크시스템스
089030,테크윙
131970,두산테스나
181710,NHN
089860,롯데렌탈
060370,LS마린솔루션
036540,SFA반도체
068760,셀트리온제약
439260,대한조선
475150,SK이터닉스
020560,아시아나항공
281820,케이씨텍
023590,다우기술
071970,HD현대마린엔진
437730,삼현
089970,브이엠
183300,코미코
120110,코오롱인더
395400,SK리츠
000120,CJ대한통운
096530,씨젠
001430,세아베스틸지주
007390,네이처셀
008770,호텔신라
294870,IPARK현대산업개발
007810,코리아써키트
420770,기가비스
001120,LX인터내셔널
218410,RFHIC
006040,동원산업
001820,삼화콘덴서
012630,HDC
009155,삼성전기우
093370,후성
006280,녹십자
001800,오리온홀딩스
011210,현대위아
323280,태성
361610,SK아이이테크놀로지
0009K0,에임드바이오
005070,코스모신소재
204270,제이앤티씨
00680K,미래에셋증권2우B
039200,오스코텍
241710,코스메카코리아
078600,대주전자재료
298020,효성티앤씨
322000,HD현대에너지솔루션
950160,코오롱티슈진
035900,JYP Ent.
097230,HJ중공업
290650,엘앤씨바이오
082920,비츠로셀
415640,KB발해인프라
007310,오뚜기
003540,대신증권
003380,하림지주
192080,더블유게임즈
069620,대웅제약
000815,삼성화재우
001740,SK네트웍스
066575,LG전자우
950260,인제니아테라퓨틱스(Reg.S)
347700,스피어
330590,롯데리츠
300720,한일시멘트
127120,제이에스링크
232140,와이씨
166090,하나머티리얼즈
280360,롯데웰푸드
030610,교보증권
004000,롯데정밀화학
195940,HK이노엔
252990,샘씨엔에스
000210,DL
006340,대원전선
356860,티엘비
000080,하이트진로
006120,SK디스커버리
017960,한국카본
195870,해성디에스
003160,디아이
