종목코드,종목명
005930,삼성전자
000660,SK하이닉스
402340,SK스퀘어
005935,삼성전자우
009150,삼성전기
005380,현대차
373220,LG에너지솔루션
032830,삼성생명
329180,HD현대중공업
028260,삼성물산
000270,기아
207940,삼성바이오로직스
034020,두산에너빌리티
105560,KB금융
012450,한화에어로스페이스
012330,현대모비스
055550,신한지주
034730,SK
006400,삼성SDI
068270,셀트리온
066570,LG전자
035420,NAVER
267260,HD현대일렉트릭
010120,LS ELECTRIC
042660,한화오션
086790,하나금융지주
298040,효성중공업
005490,POSCO홀딩스
006800,미래에셋증권
000810,삼성화재
009540,HD한국조선해양
011070,LG이노텍
042700,한미반도체
000150,두산
010130,고려아연
015760,한국전력
010140,삼성중공업
051910,LG화학
017670,SK텔레콤
316140,우리금융지주
064350,현대로템
033780,KT&G
267250,HD현대
307950,현대오토에버
138040,메리츠금융지주
096770,SK이노베이션
018260,삼성에스디에스
079550,LIG디펜스앤에어로스페이스
011200,HMM
272210,한화시스템
196170,알테오젠
035720,카카오
003550,LG
003670,포스코퓨처엠
024110,기업은행
247540,에코프로비엠
278470,에이피알
086280,현대글로비스
000720,현대건설
086520,에코프로
030200,KT
047810,한국항공우주
071050,한국금융지주
010950,S-Oil
006260,LS
323410,카카오뱅크
277810,레인보우로보틱스
005940,NH투자증권
259960,크래프톤
0126Z0,삼성에피스홀딩스
443060,HD현대마린솔루션
047050,포스코인터내셔널
016360,삼성증권
003490,대한항공
005830,DB손해보험
028050,삼성E&A
036930,주성엔지니어링
064400,LG씨엔에스
039490,키움증권
352820,하이브
161390,한국타이어앤테크놀로지
003230,삼양식품
047040,대우건설
950160,코오롱티슈진
000880,한화
005387,현대차2우B
007660,이수페타시스
180640,한진칼
001440,대한전선
353200,대덕전자
058470,리노공업
267270,HD건설기계
454910,두산로보틱스
326030,SK바이오팜
078930,GS
062040,산일전기
000990,DB하이텍
090430,아모레퍼시픽
021240,코웨이
004170,신세계
028300,HLB
034220,LG디스플레이
009830,한화솔루션
032640,LG유플러스
011790,SKC
000100,유한양행
241560,두산밥캣
000250,삼천당제약
377300,카카오페이
240810,원익IPS
087010,펩트론
005385,현대차우
036570,NC
023530,롯데쇼핑
039030,이오테크닉스
029780,삼성카드
128940,한미약품
271560,오리온
138930,BNK금융지주
088980,맥쿼리인프라
000500,가온전선
066970,엘앤에프
298380,에이비엘바이오
440110,파두
001040,CJ
010060,OCI홀딩스
141080,리가켐바이오
175330,JB금융지주
336260,두산퓨얼셀
052690,한전기술
004020,현대제철
178320,서진시스템
018880,한온시스템
082740,한화엔진
403870,HPSP
319660,피에스케이
002380,KCC
088350,한화생명
222800,심텍
108490,로보티즈
319400,현대무벡스
022100,포스코DX
214370,케어젠
095340,ISC
347850,디앤디파마텍
103590,일진전기
450080,에코프로머티
069960,현대백화점
310210,보로노이
051900,LG생활건강
084370,유진테크
012510,더존비즈온
111770,영원무역
489790,한화비전
095610,테스
251270,넷마블
036460,한국가스공사
080220,제주반도체
035250,강원랜드
011170,롯데케미칼
001450,현대해상
031210,서울보증보험
085620,미래에셋생명
302440,SK바이오사이언스
383220,F&F
004800,효성
011780,금호석유화학
031980,피에스케이홀딩스
014680,한솔케미칼
017800,현대엘리베이터
005850,에스엘
145020,휴젤
097950,CJ제일제당
214450,파마리서치
043260,성호전자
064760,티씨케이
214150,클래시스
067310,하나마이크론
139130,iM금융지주
007810,코리아써키트
001720,신영증권
028670,팬오션
375500,DL이앤씨
012750,에스원
005290,동진쎄미켐
357780,솔브레인
131970,두산테스나
009420,한올바이오파마
001740,SK네트웍스
263750,펄어비스
004990,롯데지주
010170,대한광통신
483650,달바글로벌
226950,올릭스
026960,동서
237690,에스티팜
000240,한국앤컴퍼니
279570,케이뱅크
139480,이마트
009970,영원무역홀딩스
457190,이수스페셜티케미컬
020150,롯데에너지머티리얼즈
204320,HL만도
439260,대한조선
007340,DN오토모티브
003690,코리안리
131290,티에스이
006360,GS건설
032820,우리기술
257720,실리콘투
282330,BGF리테일
004370,농심
008770,호텔신라
000155,두산우
071970,HD현대마린엔진
081660,미스토홀딩스
089030,테크윙
098460,고영
030000,제일기획
051600,한전KPS
100790,미래에셋벤처투자
120110,코오롱인더
005440,현대지에프홀딩스
082920,비츠로셀
008930,한미사이언스
290650,엘앤씨바이오
089970,브이엠
018670,SK가스
007390,네이처셀
011210,현대위아
103140,풍산
058610,에스피지
161890,한국콜마
007070,GS리테일
218410,RFHIC
00680K,미래에셋증권2우B
083650,비에이치아이
140410,메지온
192820,코스맥스
068760,셀트리온제약
030530,원익홀딩스
097230,HJ중공업
035900,JYP Ent.
000120,CJ대한통운
462870,시프트업
078600,대주전자재료
002790,아모레퍼시픽홀딩스
112610,씨에스윈드
093370,후성
229640,LS에코에너지
140860,파크시스템스
009155,삼성전기우
041510,에스엠
420770,기가비스
322000,HD현대에너지솔루션
001430,세아베스틸지주
0009K0,에임드바이오
395400,SK리츠
023590,다우기술
017960,한국카본
001800,오리온홀딩스
437730,삼현
323280,태성
347700,스피어
060370,LS마린솔루션
475150,SK이터닉스
031330,에스에이엠티
001120,LX인터내셔널
039200,오스코텍
192080,더블유게임즈
096530,씨젠
032350,롯데관광개발
006040,동원산업
003540,대신증권
006280,녹십자
298020,효성티앤씨
003570,SNT다이내믹스
069620,대웅제약
034230,파라다이스
020560,아시아나항공
005070,코스모신소재
361610,SK아이이테크놀로지
475830,오름테라퓨틱
181710,NHN
073240,금호타이어
077970,STX엔진
066575,LG전자우
101490,에스앤에스텍
294870,IPARK현대산업개발
281820,케이씨텍
007310,오뚜기
476830,알지노믹스
195870,해성디에스
090710,휴림로봇
099320,쎄트렉아이
030610,교보증권
012630,HDC
295310,에이치브이엠
000815,삼성화재우
166090,하나머티리얼즈
004000,롯데정밀화학
445680,큐리옥스바이오시스템즈
082640,동양생명
195940,HK이노엔
232140,와이씨
003530,한화투자증권
328130,루닛
038500,삼표시멘트
415640,KB발해인프라
