종목코드,업종
005930,기타
000660,기타
373220,기타
207940,기타
005935,기타
005380,기타
034020,기타
105560,기타
000270,기타
329180,기타
012450,기타
068270,기타
028260,기타
402340,기타
035420,기타
055550,기타
015760,기타
042660,기타
012330,기타
032830,기타
009540,기타
267260,기타
035720,기타
051910,기타
086790,기타
010130,기타
005490,기타
006400,기타
196170,우량기업부
000810,기타
010140,기타
316140,기타
064350,기타
009150,기타
138040,기타
011200,기타
096770,기타
034730,기타
298040,기타
003670,기타
033780,기타
024110,기타
267250,기타
066570,기타
247540,우량기업부
010120,기타
000150,기타
018260,기타
086280,기타
030200,기타
003550,기타
086520,중견기업부
0126Z0,기타
006800,기타
352820,기타
259960,기타
017670,기타
042700,기타
298380,기술성장기업부
326030,기타
323410,기타
047810,기타
007660,기타
003230,기타
047050,기타
278470,기타
000100,기타
071050,기타
010950,기타
272210,기타
010620,기타
005830,기타
443060,기타
277810,기술성장기업부
000720,기타
079550,기타
003490,기타
161390,기타
307950,기타
039490,기타
005940,기타
005387,기타
016360,기타
090430,기타
180640,기타
141080,기술성장기업부
011070,기타
950160,외국기업(소속부없음)
087010,기술성장기업부
034220,기타
032640,기타
377300,기타
064400,기타
028300,중견기업부
021240,기타
029780,기타
000880,기타
006260,기타
241560,기타
088980,기타
001040,기타
128940,기타
078930,기타
454910,기타
028050,기타
000250,중견기업부
058470,우량기업부
138930,기타
005385,기타
066970,기타
009830,기타
175330,기타
036570,기타
062040,기타
310210,기술성장기업부
251270,기타
001440,기타
302440,기타
004020,기타
450080,기타
214450,우량기업부
051900,기타
011790,기타
347850,기술성장기업부
108490,기술성장기업부
271560,기타
022100,기타
111770,기타
214370,벤처기업부
036460,기타
035250,기타
052690,기타
002380,기타
0009K0,기술성장기업부
214150,우량기업부
082740,기타
017800,기타
039030,우량기업부
031210,기타
097950,기타
011170,기타
011780,기타
240810,우량기업부
004990,기타
012750,기타
012510,기타
103140,기타
000990,기타
071970,기타
042670,기타
439260,기타
383220,기타
204320,기타
026960,기타
145020,우량기업부
068760,우량기업부
001450,기타
088350,기타
081660,기타
000240,기타
009420,기타
004370,기타
014680,기타
030000,기타
103590,기타
140410,중견기업부
018880,기타
257720,우량기업부
009970,기타
403870,우량기업부
008930,기타
263750,우량기업부
051600,기타
237690,우량기업부
035900,우량기업부
226950,기술성장기업부
041510,우량기업부
361610,기타
353200,기타
139130,기타
001720,기타
004170,기타
095340,우량기업부
004800,기타
028670,기타
336260,기타
139480,기타
462870,기타
000120,기타
002790,기타
018670,기타
003690,기타
030530,중견기업부
039200,벤처기업부
000155,기타
069960,기타
069620,기타
222800,우량기업부
005850,기타
357780,우량기업부
020150,기타
023530,기타
489790,기타
097230,기타
282330,기타
005290,우량기업부
006040,기타
010060,기타
192820,기타
007070,기타
112610,기타
098460,우량기업부
083650,중견기업부
160190,중견기업부
008770,기타
011210,기타
073240,기타
084370,우량기업부
089030,중견기업부
006360,기타
475830,기술성장기업부
065350,우량기업부
064760,우량기업부
032350,기타
290650,우량기업부
020560,기타
067310,중견기업부
023590,기타
267270,기타
