시장,종목명,종목코드,업종,종가,거래대금(억원),시가총액(억원),거래대금(원),RSI14,MFI14,이격도,BB_BW,TTM_SQUEEZE,TTM_SQUEEZE_CNT,BB_SQUEEZE_BW,ret_1d_%,ret_5d_%,ret_10d_%,ret_20d_%,ret_60d_%,ret_120d_%,rel_20d_%,rel_60d_%,rel_120d_%,RES_RATIO,RES_RATIO_NEAR,IS_ABOVE_POC,POC_GAP,NEAR_THRES,Low_Trend_PCT,RSI_Rising,BB_Expanding,Vol_Quality,Range_Pos,외인순매수,기관순매수,메이저순매수,TRIGGER,Above_MA20,SUPERTREND_DIR,SUPERTREND_VAL,VWAP,VWAP_GAP,MACD_Slope_PCT,거래강도,V_POWER,IS_SWING_SUPPORT,주봉20선_상회,주봉추세,HMA20,HMA_Trend,HMA_On,OBV_Div,gap_pct,_data_length,consecutive_limit_up,MTF_WEEKLY_TREND,MTF_MONTHLY_TREND,MTF_DATA_SUFFICIENT,추천매수가,손절가,추천매도가1,추천매도가2,추천매도가3,ENTRY_ACTION,POSITION_PCT,PLAN_REASON,STOP_PCT,MAX_LOSS_PCT,RR_MULT,REGIME,TIME_STOP_DAYS,EXEC_RULE_ID,STOP_REASON,TP1_METHOD,TP1_PROB,TP2_METHOD,TP2_PROB,TP3_METHOD,TP3_PROB,개인순매수,업종_상세,업종_대분류,SECTOR_RET_5D,SECTOR_RS,SECTOR_RANK,ML_SCORE,ML_STATUS,TRIGGER_SCORE,RAW_TRIGGER_SCORE,EBS,PASS_EBS,STRUCT_SCORE,TIMING_SCORE,AI_SCORE,FINAL_SCORE,DISPLAY_SCORE,W_STRUCT,W_TIMING,W_AI,SCORING_AXES,BLOCK_REASON
KOSPI,대원전선,006340,절연선 및 케이블 제조업,13090,10491.86,10264.4,1049185884825.0,92.8,98.3,90.71,125.66,0,0,0,29.99,103.26,100.15,141.07,243.12,210.19,132.27,216.45,162.19,0.0,0.0,1,108.5,12.0,22.81,1,0,5.67,1.0,10852,1885,12737,,1,1,7833.0,7232,80.99,0.8282,3.15,2.96,False,O,▲,9634,▲,O,X,0.0,250,1,1,1,1,7210.0,6120.0,13090.0,15720.0,19060.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.12,5.0,5.4,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,절연선 및 케이블 제조업,기타,7.800172413793104,10.187672413793104,10.0,67.7,OK,77.42590588300527,77.42590588300527,6,1,95.0,82.0,67.7,84.3,84.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[연속급등: 5일 수익률 40%+ 과열][RSI극단: RSI 85+ 극단과열]
KOSPI,SK하이닉스,000660,반도체 제조업,1293000,38913.37,9215241.6,3891337191212.0,89.8,75.7,17.16,53.3,0,0,0,-0.54,5.72,13.82,44.79,50.17,108.55,35.99,23.5,60.55,0.012,0.012,1,48.75,8.4,37.04,1,0,0.89,0.93,0,0,0,,1,1,1148200.0,973294,32.85,-0.0777,0.73,0.39,False,O,▲,1306390,▲,X,X,-1.23,250,0,1,1,1,1159000.0,1041000.0,1328000.0,1398000.0,1475000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,10.18,4.0,1.4,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,0.0,반도체 제조업,반도체,12.039310344827586,41.804482758620686,1.0,16.5,OK,35.15092735645781,35.15092735645781,2,0,82.9,42.6,16.5,53.5,53.5,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,대한전선,001440,절연선 및 케이블 제조업,51200,15068.1,95461.0,1506810163600.0,87.4,93.0,37.9,74.01,0,0,0,11.55,24.73,24.12,70.38,80.92,103.58,61.58,54.25,55.58,0.0,0.0,1,97.15,12.0,38.49,1,0,2.03,0.93,0,0,0,,1,1,37757.5,36595,39.91,0.0863,2.58,1.16,False,O,▲,46323,▲,O,X,0.22,250,0,1,1,1,39000.0,33100.0,52900.0,60500.0,70000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,15.13,4.0,2.4,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 10%+ 급등 분할 진입 + RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,절연선 및 케이블 제조업,기타,7.800172413793104,10.187672413793104,10.0,84.9,OK,72.0,72.0,6,1,94.0,76.0,84.9,85.0,85.0,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,삼성SDI,006400,일차전지 및 이차전지 제조업,712000,8915.83,573769.0,891582704000.0,85.9,75.5,32.16,69.32,0,0,0,4.71,8.04,51.17,64.81,83.51,117.74,56.01,56.84,69.74,0.0,0.0,1,89.92,10.6,10.0,1,0,1.09,0.99,94696,41296,135992,,1,1,563900.0,458304,55.36,-0.0673,1.23,0.88,False,O,▲,683986,▲,O,X,1.32,250,0,1,1,1,566000.0,497000.0,714000.0,814000.0,940000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,12.19,4.0,2.1,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,일차전지 및 이차전지 제조업,2차전지,7.472307692307693,33.18076923076923,3.0,71.4,OK,65.5,65.5,2,0,83.5,76.8,71.4,78.4,78.4,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,SK스퀘어,402340,기타 금융업,830000,7109.01,1095254.6,710900989228.0,96.2,83.7,28.45,69.41,0,0,0,2.34,15.28,24.81,65.67,56.31,193.81,56.87,29.64,145.81,0.0,0.0,1,51.41,10.2,44.35,1,0,0.81,0.95,0,0,0,,1,1,699800.0,584410,42.02,0.0624,1.57,1.22,False,O,▲,801757,▲,O,X,-1.73,250,0,1,1,1,678000.0,595000.0,849000.0,871000.0,955000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,12.24,4.0,2.1,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,0.0,기타 금융업,금융,7.680487804878048,14.592926829268292,9.0,37.6,OK,67.88607347800067,67.88607347800067,4,1,79.4,71.4,37.6,67.8,67.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSDAQ,LS머트리얼즈,417200,전자부품 제조업,31250,6024.1,21141.5,602409717550.0,87.5,92.2,36.95,58.13,0,0,0,16.39,24.25,37.67,50.6,88.25,101.61,41.8,61.58,53.61,0.0,0.0,1,39.54,12.0,11.44,1,0,2.31,0.89,10531,7250,17781,,1,1,22865.0,21808,43.29,0.2159,4.54,1.35,False,O,▲,27504,▲,O,X,2.05,250,0,1,1,1,23950.0,20350.0,32750.0,38100.0,44900.0,hold,0.0,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,15.03,5.0,2.4,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:당일 15%+ 급등 진입 보류+ENTRY:hold,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,전자부품 제조업,IT/전기전자,2.853258426966292,18.027078651685393,8.0,42.2,OK,51.57471753245651,51.57471753245651,6,1,93.4,53.3,42.2,67.1,67.1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,대우건설,047040,건물 건설업,36900,5164.59,151624.9,516458956325.0,86.9,74.3,37.18,99.55,0,0,0,-0.67,13.36,29.47,89.91,616.5,936.52,81.11,589.83,888.52,0.039,0.039,1,103.61,12.0,66.56,1,0,1.92,0.86,0,0,0,,1,1,25935.0,18504,99.41,-0.0998,0.3,0.49,False,O,▲,36318,▲,O,X,0.13,250,0,1,1,1,28250.0,24000.0,40350.0,50100.0,62400.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,15.04,4.0,2.8,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,건물 건설업,건설·부동산,6.019,21.145,6.0,62.1,OK,31.0,31.0,4,1,91.9,32.9,62.1,62.3,62.3,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,HD현대중공업,329180,선박 및 보트 건조업,690000,4455.11,724232.5,445510540500.0,91.5,91.2,27.82,65.37,0,0,0,3.45,7.64,45.42,52.82,17.35,13.67,44.02,-9.32,-34.33,0.0,0.0,1,23.36,9.5,10.34,1,0,1.24,0.93,23460,19320,42780,,1,1,575750.0,549717,25.52,0.0173,1.27,0.86,False,O,▲,683244,▲,O,X,-1.2,250,0,1,1,1,567000.0,502000.0,710000.0,787000.0,885000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,11.46,4.0,2.2,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,FIBO_1.272,40,FIBO_1.618,25,0.0,선박 및 보트 건조업,조선·기계·설비,10.336153846153847,25.077384615384616,5.0,47.2,OK,50.522074789054734,50.522074789054734,6,1,84.4,56.1,47.2,65.6,65.6,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,삼성전기,009150,전자부품 제조업,827000,4421.15,617716.9,442115061500.0,87.8,82.0,29.65,89.01,0,0,0,-1.43,1.85,34.69,86.05,195.89,240.33,77.25,169.22,192.33,0.015,0.015,1,216.15,10.7,50.98,1,0,0.89,0.96,0,0,0,,1,1,688100.0,465645,77.6,-0.256,0.76,0.36,False,O,▲,854052,▲,X,X,-2.5,250,0,1,1,1,670000.0,586000.0,845000.0,922000.0,1001000.0,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,12.54,4.0,2.1,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,BB_UPPER,75,FIBO_1.272,40,0.0,전자부품 제조업,IT/전기전자,2.853258426966292,18.027078651685393,8.0,56.9,OK,40.684205429007775,40.684205429007775,2,0,80.5,40.6,56.9,59.8,59.8,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
KOSPI,현대로템,064350,철도장비 제조업,264000,4247.21,288135.7,424720970250.0,86.7,80.4,20.05,29.32,0,0,0,7.98,11.16,25.71,39.83,16.56,7.98,31.03,-10.11,-40.02,0.0,0.0,1,20.39,9.9,9.02,1,0,1.19,0.91,63888,20592,84480,,1,1,217150.0,216381,22.01,0.0537,1.7,0.14,False,O,▲,242168,▲,O,X,2.86,250,0,1,1,1,231000.0,205000.0,270500.0,277000.0,,split,50.0,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,11.26,4.0,1.5,normal,7,v1_sl_first_gap_at_open,NORMAL+PM_BLOCK_INTRADAY+EF:RSI 80+ 과열 분할 진입+ENTRY:split,SWING_20D,80,ATR_3.5x,45,,0,0.0,철도장비 제조업,기타,7.800172413793104,10.187672413793104,10.0,45.5,OK,74.7063699250422,74.7063699250422,6,1,83.5,79.0,45.5,74.1,74.1,0.4,0.4,0.2,STRUCT+TIMING+AI+SECTOR,[RSI극단: RSI 85+ 극단과열]
